上市公司 shangshigongsi
工作人员 gongzuorenyuan
有关规定 youguanguiding
最重要的 zuizhongyaode
有限公司 youxiangongsi
一段时间 yiduanshijian
越来越多 yuelaiyueduo
什么时候 shenmeshihou
身份证 shenfenzheng
没有什么 meiyoushenme
多少钱 duoshaoqian
哈哈哈哈 hahahaha
也不知道 yebuzhidao
经济发展 jingjifazhan
的基础上 dejichushang
操作系统 caozuoxitong
看不到 kanbudao
这几天 zhejitian
对不起 duibuqi
越来越 yuelaiyue
要不要 yaobuyao
俱乐部 julebu
前几天 qianjitian
法律 falv
笔记本 bijiben
计算机 jisuanji
日本人 ribenren
看起来 kanqilai
接下来 jiexialai
毛泽东 maozedong
老百姓 laobaixing
忍不住 renbuzhu
第二次 dierci
大部分 dabufen
这个问题 zhegewenti
主持人 zhuchiren
新加坡 xinjiapo
回复日期 huifuriqi
服务器 fuwuqi
效率 xiaolv
浏览器 liulanqi
平方米 pingfangmi
考虑 kaolv
频率 pinlv
人民币 renminbi
明明 mingming
污染 wuran
发行 faxing
发票 fapiao
文明 wenming
围绕 weirao
相同 xiangtong
复习 fuxi
玩玩 wanwan
提醒 tixing
选项 xuanxiang
他人 taren
日常 richang
付出 fuchu
清除 qingchu
排名 paiming
非常 feichang
重启 chongqi
考察 kaocha
退出 tuichu
平台 pingtai
尺寸 chicun
开通 kaitong
没什么 meishenme
批评 piping
请问 qingwen
问问 wenwen
看看 kankan
委托 weituo
群体 qunti
我去 woqu
品牌 pinpai
可怕 kepa
女朋友 nvpengyou
加快 jiakuai
深刻 shenke
这款 zhekuan
打开 dakai
规律 guilv
女生 nvsheng
女孩 nvhai
旅游 lvyou
女孩子 nvhaizi
女士 nvshi
女性 nvxing
职位 zhiwei
贡献 gongxian
指定 zhiding
声音 shengyin
浪漫 langman
核心 hexin
感冒 ganmao
信号 xinhao
交通 jiaotong
出来 chulai
